Name,Year,Manufacture,State,Color,Fuel type,Transmission,Engine,VIN,Mileage,Price
Patriot Altitude Edition,2015,Jeep,"Columbus, GA
79 mi away",Deep Cherry Red Crystal Pearlcoat,Gasoline,Continuously Variable Transmission,158 hp 2L I4,1C4NJPBA9FD172434,"78,003 miles","$13,990"
GLE-Class GLE 350,2018,Mercedes-Benz,"Troy, AL
44 mi away",White,Gasoline,Automatic,302 hp 3.5L V6,4JGDA5JB2JB114773,"56,706 miles","$38,988"
Civic Sport FWD,2019,Honda,"Birmingham, AL
86 mi away",Rallye Red,Gasoline,Continuously Variable Transmission,158 hp 2L I4,2HGFC2F88KH524281,"42,654 miles","$23,215"
ILX 2.0L FWD with Premium Package,2014,Acura,"Birmingham, AL
82 mi away",Black,Gasoline,Automatic,150 hp 2L I4,19VDE1F50EE014838,"153,285 miles","$11,990"
Optima LX FWD,2020,Kia,"Auburn, AL
49 mi away",White,Gasoline,6-Speed Automatic,185 hp 2.4L I4,5XXGT4L30LG446445,"9,585 miles","$18,497"
NX 300 FWD,2019,Lexus,"Birmingham, AL
82 mi away",Silver,Gasoline,Automatic,235 hp 2L I4,JTJYARBZ2K2139146,"25,795 miles","$32,489"
Camaro 2LT Coupe RWD,2014,Chevrolet,"Birmingham, AL
89 mi away",Berlin blue metallic,Gasoline,6-Speed Automatic,323 hp 3.6L V6,2G1FE1E30E9154282,"43,000 miles","$17,500"
5 Series 550i Sedan RWD,2015,BMW,"Auburn, AL
50 mi away",Black,Gasoline,8-Speed Automatic,445 hp 4.4L V8,WBAKN9C50FD682348,"82,000 miles","$22,400"
Titan PRO-4X Crew Cab 4WD,2019,Nissan,"Gardendale, AL
94 mi away",Super Black,Gasoline,Automatic,390 hp 5.6L V8,1N6AA1EJ4KN533125,"8,993 miles","$40,254"
Compass Limited 4WD,2018,Jeep,"Birmingham, AL
82 mi away",Black,Gasoline,Automatic,180 hp 2.4L I4,3C4NJDCB1JT334520,"23,876 miles","$22,489"
4Runner SR5,2010,Toyota,"Hoover, AL
80 mi away",Silver,Gasoline,5-Speed Automatic Overdrive,270 hp 4L V6,JTEZU5JRXA5000738,"131,586 miles","$16,995"
F-350 Super Duty,2016,Ford,"Elba, AL
67 mi away",,Biodiesel,Automatic,440 hp 6.7L V8 Biodiesel,1FTRF3BT5GEC82907,"45,348 miles","$42,187"
Explorer Limited 4WD,2015,Ford,"Montgomery, AL
5 mi away",Black,Gasoline,Automatic,290 hp 3.5L V6,1FM5K8F8XFGC37134,"120,710 miles","$14,996"
Pilot Touring,2013,Honda,"Bessemer, AL
77 mi away",White,Gasoline,Automatic,250 hp 3.5L V6,5FNYF3H98DB008537,"153,190 miles","$10,990"
ILX FWD,2018,Acura,"Birmingham, AL
82 mi away",Black,Gasoline,Automatic,201 hp 2.4L I4,19UDE2F34JA006770,"33,674 miles","$21,169"
Renegade,2020,Jeep,"Columbus, GA
78 mi away",Black Clearcoat,Gasoline,9-Speed Automatic,180 hp 2.4L I4,ZACNJAAB7LPL10151,"16,050 miles","$20,699"
Titan SV Crew Cab 4WD,2020,Nissan,"Pelham, AL
73 mi away",Blue,Gasoline,Automatic,400 hp 5.6L V8,1N6AA1EDXLN501338,"40,062 miles","$39,995"
Cooper S Convertible,2009,MINI,"Maylene, AL
68 mi away",Gray,Gasoline,6-Speed Automatic,172 hp 1.6L I4,WMWMS33519TY07804,"79,800 miles","$6,995"
Cruze LT Sedan FWD,2019,Chevrolet,"Greenville, AL
41 mi away",Summit White,Gasoline,Automatic,153 hp 1.4L I4,1G1BE5SM8K7146205,"44,789 miles","$17,816"
F-150 King Ranch SuperCrew 4WD,2019,Ford,"Auburn, AL
48 mi away",White,Gasoline,Automatic,375 hp 3.5L V6,1FTEW1E45KFB19717,"53,788 miles","$51,877"
X5 sDrive35i RWD,2017,BMW,"Montgomery, AL
5 mi away",Black,Gasoline,Automatic,300 hp 3L I6,5UXKR2C36H0X05203,"91,013 miles","$24,998"
Impala LT Fleet FWD,2012,Chevrolet,"Pelham, AL
72 mi away",White,Flex Fuel Vehicle,Automatic,300 hp 3.6L V6 Flex Fuel Vehicle,2G1WG5E33C1222765,"111,593 miles","$5,950"
Corolla L,2014,Toyota,"Bessemer, AL
84 mi away",Black,Gasoline,4-Speed Automatic,132 hp 1.8L I4,2T1BURHE6EC042896,"152,915 miles","$7,999"
Palisade SEL FWD,2020,Hyundai,"Auburn, AL
52 mi away",Gray (Steel Graphite),Gasoline,Automatic,291 hp 3.8L V6,KM8R24HE4LU050370,"15,729 miles","$39,408"
Escape SE FWD,2014,Ford,"Birmingham, AL
89 mi away",,Gasoline,Automatic,1.6L I4,1FMCU0GX8EUB96091,"145,530 miles","$6,995"
Tahoe LTZ RWD,2015,Chevrolet,"Birmingham, AL
83 mi away",Black,Flex Fuel Vehicle,Automatic,355 hp 5.3L V8 Flex Fuel Vehicle,1GNSCCKCXFR253136,"161,662 miles","$23,999"
S90 T6 R-Design AWD,2020,Volvo,"Montgomery, AL
5 mi away",Gray,Gasoline,Automatic,316 hp 2L I4,LVYA22MT7LP170438,"19,555 miles","$50,997"
F-250 Super Duty XLT Crew Cab LB 4WD,2020,Ford,"Heflin, AL
98 mi away",Oxford White,Biodiesel,Automatic,6.7L V8 Biodiesel,1FT7W2BT4LEC92646,"63,324 miles","$54,490"
Grand Cherokee Limited,2018,Jeep,"Tuscaloosa, AL
89 mi away",Gray (Granite Crystal Metallic Clearcoat),Gasoline,8-Speed Automatic,295 hp 3.6L V6,1C4RJEBG6JC172609,"40,088 miles","$27,966"
GranTurismo,2015,Maserati,"Birmingham, AL
84 mi away",Black,Gasoline,Automatic,4.7L V8,ZAM45VLA4F0140450,"10,385 miles","$49,948"
Tucson Ultimate FWD,2019,Hyundai,"Montgomery, AL
5 mi away",White,Gasoline,Automatic,181 hp 2.4L I4,KM8J33AL1KU896791,"120,944 miles","$17,999"
Wrangler Sahara 4WD,2011,Jeep,"Cropwell, AL
78 mi away",Deep Cherry Red Crystal Pearl Coat,Gasoline,Automatic,202 hp 3.8L V6,1J4AA5D18BL633164,"110,470 miles","$17,980"
Telluride EX FWD,2020,Kia,"Birmingham, AL
83 mi away",Green,Gasoline,Automatic,291 hp 3.8L V6,5XYP34HC7LG045396,"41,273 miles","$36,996"
Renegade Latitude FWD,2020,Jeep,"Tuscaloosa, AL
89 mi away",Omaha Orange Clearcoat,Gasoline,Automatic,180 hp 2.4L I4,ZACNJABB8LPL34523,"11,650 miles","$21,977"
1500 Big Horn Crew Cab 4WD,2019,RAM,"Fultondale, AL
90 mi away",Silver,,Automatic,,1C6RR7LT0KS524503,"34,809 miles","$34,999"
1500 Laramie Crew Cab 4WD,2019,RAM,"Auburn, AL
48 mi away",Gray (Granite Crystal Metallic Clearcoat),Flex Fuel Vehicle,Automatic,305 hp 3.6L V6 Flex Fuel Vehicle,1C6RRFJG5KN749210,"27,957 miles","$44,369"
MKC Black Label AWD,2018,Lincoln,"Pelham, AL
73 mi away",Black,Gasoline,Automatic,240 hp 2L I4,5LMCJ4D97JUL11826,"13,460 miles","$31,994"
Passport Elite AWD,2019,Honda,"Cottondale, AL
87 mi away",White,Gasoline,Automatic,280 hp 3.5L V6,5FNYF8H08KB003561,"42,524 miles","$33,408"
Silverado 1500 LT Double Cab RWD,2018,Chevrolet,"Tuscaloosa, AL
89 mi away",Silver Ice Metallic,Gasoline,6-Speed Automatic Overdrive,355 hp 5.3L V8,1GCRCREC5JZ158062,"42,287 miles","$28,963"
Explorer XLT,2018,Ford,"Enterprise, AL
76 mi away",Red (Burgundy),Gasoline,6-Speed Automatic,290 hp 3.5L V6,1FM5K7D8XJGA23475,"72,821 miles","$23,934"
Sonata GLS FWD,2014,Hyundai,"Montgomery, AL
5 mi away",Harbor Gray Metallic,Gasoline,6-Speed Automatic,198 hp 2.4L I4,5NPEB4AC0EH940311,"87,352 miles","$9,999"
Cherokee Latitude FWD,2020,Jeep,"Montgomery, AL
5 mi away",Velvet Red Pearlcoat,Gasoline,9-Speed Automatic,180 hp 2.4L I4,1C4PJLCB3LD570064,"24,705 miles","$21,999"
Explorer Limited AWD,2020,Ford,"Tuscaloosa, AL
91 mi away",Black,Gasoline,Automatic,2.3L I4,1FMSK8FH5LGB99763,"28,374 miles","$38,965"
Silverado 1500 LT Crew Cab 4WD,2014,Chevrolet,"Birmingham, AL
89 mi away",Blue,Flex Fuel Vehicle,Automatic,5.3L V8 Flex Fuel Vehicle,1GCUKREC0EF194259,"116,015 miles","$22,995"
Armada SL RWD,2020,Nissan,"Pelham, AL
72 mi away",Gray,Gasoline,Automatic,390 hp 5.6L V8,JN8AY2ND2LX017015,"31,558 miles","$39,950"
Suburban 1500 LT 4WD,2017,Chevrolet,"Birmingham, AL
84 mi away",Black,Flex Fuel Vehicle,Automatic,355 hp 5.3L V8 Flex Fuel Vehicle,1GNSKHKC2HR160050,"87,919 miles","$35,995"
2500 Big Horn Crew Cab 4WD,2018,RAM,"Columbus, GA
80 mi away",Bright White Clearcoat,Diesel,6-Speed Automatic,350 hp 6.7L I6 Diesel,3C6UR5DL3JG126110,"47,748 miles","$51,495"
Mirage G4 ES FWD,2018,Mitsubishi,"Birmingham, AL
89 mi away",White,Gasoline,Continuously Variable Transmission,78 hp 1.2L I3,ML32F3FJ1JHF05644,"72,027 miles","$6,995"
Rogue SV FWD,2018,Nissan,"Andalusia, AL
74 mi away",White,Gasoline,Continuously Variable Transmission,170 hp 2.5L I4,KNMAT2MT6JP594890,"164,344 miles","$12,733"
1500 Limited Crew Cab RWD,2019,RAM,"Birmingham, AL
82 mi away",Red,Gasoline,Automatic,395 hp 5.7L V8,1C6RREHTXKN526805,"79,507 miles","$40,998"
EcoSport Titanium FWD,2019,Ford,"Alexander City, AL
44 mi away",Red,Gasoline,,123 hp 1L I3,MAJ3S2KEXKC251045,"32,760 miles","$17,990"
Sorento LX,2015,Kia,"Anniston, AL
92 mi away",Gray,Gasoline,6-Speed Automatic,191 hp 2.4L I4,5XYKT3A68FG648368,"97,277 miles","$13,201"
Sierra 1500 Base Double Cab,2017,GMC,"Lagrange, GA
88 mi away",Dark Slate Metallic,Gasoline,Automatic,355 hp 5.3L V8,1GTR1LEC5HZ228642,"27,599 miles","$28,598"
Titan PRO-4X Crew Cab 4WD,2017,Nissan,"Heflin, AL
98 mi away",Deep Blue Pearl,Gasoline,7-Speed Automatic,390 hp 5.6L V8,1N6AA1E54HN554679,"88,975 miles","$31,835"
X2 sDrive28i FWD,2019,BMW,"Pelham, AL
73 mi away",Jet Black,Gasoline,Automatic,228 hp 2L I4,WBXYJ3C54K5N62016,"14,566 miles","$28,996"
Bronco Sport Outer Banks AWD,2021,Ford,"Tuscaloosa, AL
90 mi away",Brown,Gasoline,8-Speed Automatic,181 hp 1.5L I3,3FMCR9C66MRA29723,"4,071 miles","$39,000"
Edge SEL AWD,2018,Ford,"Ozark, AL
76 mi away",Shadow Black,Gasoline,6-Speed Automatic,280 hp 3.5L V6,2FMPK4J89JBB02543,"23,920 miles","$26,500"
X2 xDrive28i AWD,2018,BMW,"Columbus, GA
78 mi away",Black Sapphire Metallic,Gasoline,8-Speed Automatic,228 hp 2L I4,WBXYJ5C35JEF80343,"83,376 miles","$23,989"
Sonata Hybrid Limited FWD,2015,Hyundai,"Cropwell, AL
78 mi away",Starlight Silver,Hybrid,Automatic,199 hp 2.4L I4 Hybrid,KMHEC4A46FA134063,"79,512 miles","$12,580"
Tundra,2013,Toyota,"Tuscaloosa, AL
91 mi away",Gray (Platinum),Gasoline,6-Speed Automatic,381 hp 5.7L V8,5TFFY5F19DX138181,"172,976 miles","$21,499"
Enclave CXL FWD,2009,Buick,"Birmingham, AL
84 mi away",Blue,Gasoline,Automatic,288 hp 3.6L V6,5GAER23D79J198302,"171,551 miles","$4,500"
