Name,Year,Manufacturer,State,Color,Fuel type,Transmission,Engine,VIN,Mileage,Price
AMG C 43 Base 4MATIC,2019,Mercedes-Benz,CA,Black,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,55SWF6EB8KU291212,"24,076 mi.","$54,392"
Terrain SLT,2018,GMC,TN,Graphite Gray Metallic,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,3GKALVEX1JL336991,"45,278 mi.","$26,659"
Romeo Stelvio Ti,2018,Alfa,PA,Vulcano Black Metallic,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI SOHC Turbo,ZASFAKNN5J7B93222,"13,690 mi.","$34,998"
Aviator Reserve AWD,2020,Lincoln,WI,Blue Diamond,Gasoline ,10-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,5LM5J7XC1LGL24283,"3,104 mi.","$55,995"
XC60 T6 Momentum,2021,Volvo,WA,Fusion Red Metallic,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC,YV4A22RK1M1777654,"18,378 mi.","$46,880"
Wrangler Unlimited Sahara,2020,Jeep,SC,Billet Silver Metallic Clearcoat,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1C4HJXEN7LW204339,"48,942 mi.","$41,889"
CX-5 Touring,2020,Mazda,FL,Snowflake White Pearl,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC,JM3KFBCM3L0777706,"49,937 mi.","$22,939"
GLC 300 Base 4MATIC,2020,Mercedes-Benz,CA,Iridium Silver Metallic,Gasoline ,Automatic,Intercooled Turbo Premium Unleaded I-4 2.0 L/121,WDC0G8EB5LF699139,"14,317 mi.","$45,991"
LC 500 Base,2018,Lexus,MD,Caviar,Gasoline ,10-Speed Automatic,5.0L V8 32V PDI DOHC,JTHHP5AY5JA003020,"65,360 mi.","$67,390"
Fusion SEL,2020,Ford,UT,Oxford White,Gasoline ,6-Speed Automatic,1.5L I4 16V GDI DOHC Turbo,3FA6P0CD9LR206514,"48,712 mi.","$20,489"
NX 300 Base,2019,Lexus,OH,Caviar,Gasoline ,6-Speed Automatic,2.0L I4 16V PDI DOHC Turbo,JTJBARBZ2K2193178,"20,476 mi.","$35,923"
Wrangler Unlimited Sahara,2020,Jeep,SC,Bright White Clearcoat,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1C4HJXEN2LW213871,"45,838 mi.","$41,819"
Kona SE,2019,Hyundai,SC,Chalk White,Gasoline ,6-Speed Automatic,2.0L I4 16V MPFI DOHC,KM8K12AA9KU335922,"12,207 mi.","$20,489"
A7 3.0T Premium Plus,2016,Audi,VA,Moonlight Blue Metallic,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged,WAUWGAFCXGN056678,"69,979 mi.","$35,980"
CT6 3.6L Luxury,2018,Cadillac,MI,Satin Steel Metallic,Gasoline ,8-Speed Automatic,3.6L V6 24V GDI DOHC,1G6KD5RS2JU143334,"50,898 mi.","$39,765"
Atlas 3.6 V6 SEL R-Line,2019,Volkswagen,VA,Deep Black Pearl Effect,Gasoline ,8-Speed Automatic,3.6L V6 24V GDI DOHC,1V2RR2CA6KC565169,"14,283 mi.","$38,500"
S5 3.0T Prestige quattro,2014,Audi,IL,Black,Gasoline ,7-Speed Automatic with Auto-Shift,3.0L V6 24V GDI DOHC Supercharged,WAUVGAFH9EN008125,"62,330 mi.","$26,900"
CX-5 Touring,2020,Mazda,FL,Machine Gray Metallic,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC,JM3KFBCM3L0768732,"49,444 mi.","$23,389"
Romeo Giulia Ti,2020,Alfa,NJ,White,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI SOHC Turbo,ZARFANBN8L7637071,"11,038 mi.","$43,299"
Edge Titanium,2018,Ford,MN,Shadow Black,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC,2FMPK4K81JBC34453,"23,914 mi.","$35,455"
Edge Titanium,2018,Ford,MN,Gray,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC,2FMPK4K80JBB88534,"58,455 mi.","$29,695"
C-Class C 300 4MATIC,2019,Mercedes-Benz,FL,Graphite Gray Metallic,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WDDWK8EB6KF829867,"19,665 mi.","$51,999"
Edge Titanium,2018,Ford,MN,Lightning Blue Metallic,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC,2FMPK4K84JBB31091,"33,893 mi.","$31,999"
Santa Fe SEL 2.4,2020,Hyundai,NC,Quartz White,Gasoline ,8-Speed Automatic,2.4L I4 16V GDI DOHC,5NMS33AD9LH217540,"23,719 mi.","$27,629"
